Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,12.160000,12.830000,9.870000,10.420000,10.420000,0
2007-02-01,10.320000,19.010000,9.700000,15.420000,15.420000,0
2007-03-01,17.760000,21.250000,11.210000,14.640000,14.640000,0
2007-04-01,14.910000,15.460000,11.460000,14.220000,14.220000,0
2007-05-01,14.100000,14.600000,12.080000,13.050000,13.050000,0
2007-06-01,12.770000,18.980000,12.430000,16.230000,16.230000,0
2007-07-01,16.480000,24.170000,14.670000,23.520000,23.520000,0
2007-08-01,23.709999,37.500000,19.330000,23.379999,23.379999,0
2007-09-01,21.930000,28.820000,16.910000,18.000000,18.000000,0
2007-10-01,18.440001,24.150000,16.080000,18.530001,18.530001,0
2007-11-01,19.889999,31.090000,17.379999,22.870001,22.870001,0
2007-12-01,23.590000,24.860001,18.280001,22.500000,22.500000,0
2008-01-01,22.580000,37.570000,22.110001,26.200001,26.200001,0
2008-02-01,25.660000,29.700001,21.639999,26.540001,26.540001,0
2008-03-01,27.540001,35.599998,22.290001,25.610001,25.610001,0
2008-04-01,25.610001,25.610001,19.209999,20.790001,20.790001,0
2008-05-01,20.780001,20.950001,15.820000,17.830000,17.830000,0
2008-06-01,17.830000,24.559999,17.830000,23.950001,23.950001,0
2008-07-01,25.139999,30.809999,20.730000,22.940001,22.940001,0
2008-08-01,22.660000,23.860001,18.639999,20.650000,20.650000,0
2008-09-01,20.650000,48.400002,20.469999,39.389999,39.389999,0
2008-10-01,39.389999,89.529999,39.389999,59.889999,59.889999,0
2008-11-01,60.169998,81.480003,44.250000,55.279999,55.279999,0
2008-12-01,60.470001,68.599998,37.959999,40.000000,40.000000,0
2009-01-01,39.580002,57.360001,36.880001,44.840000,44.840000,0
2009-02-01,49.419998,53.160000,40.730000,46.349998,46.349998,0
2009-03-01,49.959999,53.250000,38.790001,44.139999,44.139999,0
2009-04-01,45.419998,45.599998,33.680000,36.500000,36.500000,0
2009-05-01,36.500000,36.880001,26.570000,28.920000,28.920000,0
2009-06-01,28.700001,32.770000,25.020000,26.350000,26.350000,0
2009-07-01,25.730000,33.049999,23.000000,25.920000,25.920000,0
2009-08-01,25.920000,28.389999,23.680000,26.010000,26.010000,0
2009-09-01,26.010000,29.570000,22.190001,25.610001,25.610001,0
2009-10-01,25.980000,31.590000,20.100000,30.690001,30.690001,0
2009-11-01,30.700001,31.840000,20.049999,24.510000,24.510000,0
2009-12-01,24.510000,24.510000,19.250000,21.680000,21.680000,0
2010-01-01,21.680000,28.010000,16.860001,24.620001,24.620001,0
2010-02-01,24.330000,29.219999,19.320000,19.500000,19.500000,0
2010-03-01,19.930000,19.940001,16.170000,17.590000,17.590000,0
2010-04-01,17.010000,23.200001,15.230000,22.049999,22.049999,0
2010-05-01,22.410000,48.200001,19.610001,32.070000,32.070000,0
2010-06-01,34.869999,37.380001,22.870001,34.540001,34.540001,0
2010-07-01,34.410000,37.580002,21.860001,23.500000,23.500000,0
2010-08-01,23.070000,28.920000,21.360001,26.049999,26.049999,0
2010-09-01,25.129999,25.129999,20.850000,23.700001,23.700001,0
2010-10-01,22.900000,24.340000,17.900000,21.200001,21.200001,0
2010-11-01,21.650000,23.840000,17.760000,23.540001,23.540001,0
2010-12-01,21.190001,21.430000,15.400000,17.750000,17.750000,0
2011-01-01,17.940001,20.080000,15.370000,19.530001,19.530001,0
2011-02-01,18.590000,23.219999,14.860000,18.350000,18.350000,0
2011-03-01,17.629999,31.280001,17.070000,17.740000,17.740000,0
2011-04-01,16.680000,19.070000,14.270000,14.750000,14.750000,0
2011-05-01,15.070000,20.030001,15.070000,15.450000,15.450000,0
2011-06-01,15.950000,24.650000,15.880000,16.520000,16.520000,0
2011-07-01,16.059999,25.940001,15.120000,25.250000,25.250000,0
2011-08-01,22.629999,48.000000,22.459999,31.620001,31.620001,0
2011-09-01,31.910000,43.869999,30.430000,42.959999,42.959999,0
2011-10-01,44.250000,46.880001,24.440001,29.959999,29.959999,0
2011-11-01,36.029999,37.529999,27.030001,27.799999,27.799999,0
2011-12-01,27.629999,30.910000,20.340000,23.400000,23.400000,0
2012-01-01,22.950001,23.730000,16.799999,19.440001,19.440001,0
2012-02-01,18.680000,21.980000,16.100000,18.430000,18.430000,0
2012-03-01,18.020000,21.240000,13.660000,15.500000,15.500000,0
2012-04-01,16.350000,21.059999,15.020000,17.150000,17.150000,0
2012-05-01,17.270000,25.459999,16.010000,24.059999,24.059999,0
2012-06-01,25.870001,27.730000,16.770000,17.080000,17.080000,0
2012-07-01,17.620001,21.000000,15.450000,18.930000,18.930000,0
2012-08-01,18.799999,19.250000,13.300000,17.469999,17.469999,0
2012-09-01,18.650000,18.959999,13.510000,15.730000,15.730000,0
2012-10-01,16.030001,19.650000,13.670000,18.600000,18.600000,0
2012-11-01,17.770000,19.400000,14.770000,15.870000,15.870000,0
2012-12-01,15.810000,23.230000,15.410000,18.020000,18.020000,0
2013-01-01,15.240000,15.930000,12.290000,14.280000,14.280000,0
2013-02-01,13.370000,19.280001,12.080000,15.510000,15.510000,0
2013-03-01,16.100000,16.820000,11.050000,12.700000,12.700000,0
